delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
02/01/2021,08:00,N,HB_HOUSTON,50.03
02/01/2021,08:00,N,HB_HUBAVG,50.02
02/01/2021,08:00,N,HB_NORTH,51.45
02/01/2021,08:00,N,HB_PAN,51.77
02/01/2021,08:00,N,HB_SOUTH,46.39
02/01/2021,08:00,N,HB_WEST,52.19
02/01/2021,08:00,N,LZ_AEN,52.64
02/01/2021,08:00,N,LZ_CPS,53.17
02/01/2021,08:00,N,LZ_HOUSTON,50.01
02/01/2021,08:00,N,LZ_LCRA,57.69
02/01/2021,08:00,N,LZ_NORTH,51.83
02/01/2021,08:00,N,LZ_RAYBN,55.2
02/01/2021,08:00,N,LZ_SOUTH,45.84
02/01/2021,08:00,N,LZ_WEST,52.64
02/01/2021,09:00,N,HB_BUSAVG,34.91
02/01/2021,09:00,N,HB_HOUSTON,34.92
02/01/2021,09:00,N,HB_HUBAVG,34.8
02/01/2021,09:00,N,HB_NORTH,35.4
02/01/2021,09:00,N,HB_PAN,34.72
02/01/2021,09:00,N,HB_SOUTH,33.35
02/01/2021,09:00,N,HB_WEST,35.54
02/01/2021,09:00,N,LZ_AEN,37.86
02/01/2021,09:00,N,LZ_CPS,36.49
02/01/2021,09:00,N,LZ_HOUSTON,34.94
02/01/2021,09:00,N,LZ_LCRA,37.85
02/01/2021,09:00,N,LZ_NORTH,35.93
02/01/2021,09:00,N,LZ_RAYBN,38.42
02/01/2021,09:00,N,LZ_SOUTH,33.06
02/01/2021,09:00,N,LZ_WEST,35.83
02/01/2021,10:00,N,HB_BUSAVG,26.26
02/01/2021,10:00,N,HB_HOUSTON,26.26
02/01/2021,10:00,N,HB_HUBAVG,26.23
02/01/2021,10:00,N,HB_NORTH,26.4
02/01/2021,10:00,N,HB_PAN,25.96
02/01/2021,10:00,N,HB_SOUTH,25.81
02/01/2021,10:00,N,HB_WEST,26.46
02/01/2021,10:00,N,LZ_AEN,28.77
02/01/2021,10:00,N,LZ_CPS,26.29
02/01/2021,10:00,N,LZ_HOUSTON,26.28
02/01/2021,10:00,N,LZ_LCRA,27.08
02/01/2021,10:00,N,LZ_NORTH,26.65
02/01/2021,10:00,N,LZ_RAYBN,27.8
02/01/2021,10:00,N,LZ_SOUTH,25.98
02/01/2021,10:00,N,LZ_WEST,26.67
02/01/2021,11:00,N,HB_BUSAVG,22.37
02/01/2021,11:00,N,HB_HOUSTON,22.37
02/01/2021,11:00,N,HB_HUBAVG,22.37
02/01/2021,11:00,N,HB_NORTH,22.4
02/01/2021,11:00,N,HB_PAN,21.91
02/01/2021,11:00,N,HB_SOUTH,22.27
02/01/2021,11:00,N,HB_WEST,22.42
02/01/2021,11:00,N,LZ_AEN,22.87
02/01/2021,11:00,N,LZ_CPS,22.4
02/01/2021,11:00,N,LZ_HOUSTON,22.4
02/01/2021,11:00,N,LZ_LCRA,22.61
02/01/2021,11:00,N,LZ_NORTH,22.47
02/01/2021,11:00,N,LZ_RAYBN,22.87
02/01/2021,11:00,N,LZ_SOUTH,22.41
02/01/2021,11:00,N,LZ_WEST,22.58
02/01/2021,12:00,N,HB_BUSAVG,19.72
02/01/2021,12:00,N,HB_HOUSTON,19.81
02/01/2021,12:00,N,HB_HUBAVG,19.72
02/01/2021,12:00,N,HB_NORTH,19.77
02/01/2021,12:00,N,HB_PAN,18.63
02/01/2021,12:00,N,HB_SOUTH,19.51
02/01/2021,12:00,N,HB_WEST,19.78
02/01/2021,12:00,N,LZ_AEN,20.55
02/01/2021,12:00,N,LZ_CPS,19.66
02/01/2021,12:00,N,LZ_HOUSTON,19.84
02/01/2021,12:00,N,LZ_LCRA,19.77
02/01/2021,12:00,N,LZ_NORTH,19.79
02/01/2021,12:00,N,LZ_RAYBN,20.01
02/01/2021,12:00,N,LZ_SOUTH,19.84
02/01/2021,12:00,N,LZ_WEST,19.87
02/01/2021,13:00,N,HB_BUSAVG,19.52
02/01/2021,13:00,N,HB_HOUSTON,19.68
02/01/2021,13:00,N,HB_HUBAVG,19.53
02/01/2021,13:00,N,HB_NORTH,19.55
02/01/2021,13:00,N,HB_PAN,18.27
02/01/2021,13:00,N,HB_SOUTH,19.33
02/01/2021,13:00,N,HB_WEST,19.55
02/01/2021,13:00,N,LZ_AEN,19.9
02/01/2021,13:00,N,LZ_CPS,19.44
02/01/2021,13:00,N,LZ_HOUSTON,19.74
02/01/2021,13:00,N,LZ_LCRA,19.45
02/01/2021,13:00,N,LZ_NORTH,19.57
02/01/2021,13:00,N,LZ_RAYBN,19.79
02/01/2021,13:00,N,LZ_SOUTH,19.62
02/01/2021,13:00,N,LZ_WEST,19.62
02/01/2021,14:00,N,HB_BUSAVG,18.56
02/01/2021,14:00,N,HB_HOUSTON,18.67
02/01/2021,14:00,N,HB_HUBAVG,18.56
02/01/2021,14:00,N,HB_NORTH,18.57
02/01/2021,14:00,N,HB_PAN,16.48
02/01/2021,14:00,N,HB_SOUTH,18.45
02/01/2021,14:00,N,HB_WEST,18.57
02/01/2021,14:00,N,LZ_AEN,18.68
02/01/2021,14:00,N,LZ_CPS,18.53
02/01/2021,14:00,N,LZ_HOUSTON,18.7
02/01/2021,14:00,N,LZ_LCRA,18.5
02/01/2021,14:00,N,LZ_NORTH,18.59
02/01/2021,14:00,N,LZ_RAYBN,18.76
02/01/2021,14:00,N,LZ_SOUTH,18.84
02/01/2021,14:00,N,LZ_WEST,18.65
02/01/2021,15:00,N,HB_BUSAVG,17.87
02/01/2021,15:00,N,HB_HOUSTON,17.98
02/01/2021,15:00,N,HB_HUBAVG,17.87
02/01/2021,15:00,N,HB_NORTH,17.88
02/01/2021,15:00,N,HB_PAN,14.28
02/01/2021,15:00,N,HB_SOUTH,17.76
02/01/2021,15:00,N,HB_WEST,17.88
02/01/2021,15:00,N,LZ_AEN,17.85
02/01/2021,15:00,N,LZ_CPS,17.86
02/01/2021,15:00,N,LZ_HOUSTON,18.02
02/01/2021,15:00,N,LZ_LCRA,17.82
02/01/2021,15:00,N,LZ_NORTH,17.9
02/01/2021,15:00,N,LZ_RAYBN,18.01
02/01/2021,15:00,N,LZ_SOUTH,18.02
02/01/2021,15:00,N,LZ_WEST,17.94
02/01/2021,16:00,N,HB_BUSAVG,17.53
02/01/2021,16:00,N,HB_HOUSTON,17.64
02/01/2021,16:00,N,HB_HUBAVG,17.54
02/01/2021,16:00,N,HB_NORTH,17.54
02/01/2021,16:00,N,HB_PAN,11.14
02/01/2021,16:00,N,HB_SOUTH,17.43
02/01/2021,16:00,N,HB_WEST,17.54
02/01/2021,16:00,N,LZ_AEN,17.51
02/01/2021,16:00,N,LZ_CPS,17.53
02/01/2021,16:00,N,LZ_HOUSTON,17.68
02/01/2021,16:00,N,LZ_LCRA,17.47
02/01/2021,16:00,N,LZ_NORTH,17.54
02/01/2021,16:00,N,LZ_RAYBN,17.54
02/01/2021,16:00,N,LZ_SOUTH,17.72
02/01/2021,16:00,N,LZ_WEST,17.63
02/01/2021,17:00,N,HB_BUSAVG,18.66
02/01/2021,17:00,N,HB_HOUSTON,18.78
02/01/2021,17:00,N,HB_HUBAVG,18.67
02/01/2021,17:00,N,HB_NORTH,18.68
02/01/2021,17:00,N,HB_PAN,12.67
02/01/2021,17:00,N,HB_SOUTH,18.54
02/01/2021,17:00,N,HB_WEST,18.67
02/01/2021,17:00,N,LZ_AEN,18.64
02/01/2021,17:00,N,LZ_CPS,18.64
02/01/2021,17:00,N,LZ_HOUSTON,18.83
02/01/2021,17:00,N,LZ_LCRA,18.65
02/01/2021,17:00,N,LZ_NORTH,18.68
02/01/2021,17:00,N,LZ_RAYBN,18.68
02/01/2021,17:00,N,LZ_SOUTH,18.81
02/01/2021,17:00,N,LZ_WEST,18.76
02/01/2021,18:00,N,HB_BUSAVG,27.36
02/01/2021,18:00,N,HB_HOUSTON,27.58
02/01/2021,18:00,N,HB_HUBAVG,27.36
02/01/2021,18:00,N,HB_NORTH,27.45
02/01/2021,18:00,N,HB_PAN,19.47
02/01/2021,18:00,N,HB_SOUTH,26.94
02/01/2021,18:00,N,HB_WEST,27.46
02/01/2021,18:00,N,LZ_AEN,27.41
02/01/2021,18:00,N,LZ_CPS,27.62
02/01/2021,18:00,N,LZ_HOUSTON,27.61
02/01/2021,18:00,N,LZ_LCRA,26.87
02/01/2021,18:00,N,LZ_NORTH,27.47
02/01/2021,18:00,N,LZ_RAYBN,27.69
02/01/2021,18:00,N,LZ_SOUTH,27.38
02/01/2021,18:00,N,LZ_WEST,27.8
02/01/2021,19:00,N,HB_BUSAVG,33.44
02/01/2021,19:00,N,HB_HOUSTON,33.55
02/01/2021,19:00,N,HB_HUBAVG,33.45
02/01/2021,19:00,N,HB_NORTH,33.44
02/01/2021,19:00,N,HB_PAN,18.06
02/01/2021,19:00,N,HB_SOUTH,33.34
02/01/2021,19:00,N,HB_WEST,33.48
02/01/2021,19:00,N,LZ_AEN,33.45
02/01/2021,19:00,N,LZ_CPS,33.49
02/01/2021,19:00,N,LZ_HOUSTON,33.58
02/01/2021,19:00,N,LZ_LCRA,33.6
02/01/2021,19:00,N,LZ_NORTH,33.54
02/01/2021,19:00,N,LZ_RAYBN,34.6
02/01/2021,19:00,N,LZ_SOUTH,34.11
02/01/2021,19:00,N,LZ_WEST,33.85
02/01/2021,20:00,N,HB_BUSAVG,22.56
02/01/2021,20:00,N,HB_HOUSTON,22.64
02/01/2021,20:00,N,HB_HUBAVG,22.57
02/01/2021,20:00,N,HB_NORTH,22.54
02/01/2021,20:00,N,HB_PAN,-6.96
02/01/2021,20:00,N,HB_SOUTH,22.53
02/01/2021,20:00,N,HB_WEST,22.56
02/01/2021,20:00,N,LZ_AEN,22.87
02/01/2021,20:00,N,LZ_CPS,22.5
02/01/2021,20:00,N,LZ_HOUSTON,22.67
02/01/2021,20:00,N,LZ_LCRA,23.17
02/01/2021,20:00,N,LZ_NORTH,22.61
02/01/2021,20:00,N,LZ_RAYBN,23.19
02/01/2021,20:00,N,LZ_SOUTH,23.04
02/01/2021,20:00,N,LZ_WEST,22.88
02/01/2021,21:00,N,HB_BUSAVG,21.03
02/01/2021,21:00,N,HB_HOUSTON,21.12
02/01/2021,21:00,N,HB_HUBAVG,21.04
02/01/2021,21:00,N,HB_NORTH,21.02
02/01/2021,21:00,N,HB_PAN,-18.98
02/01/2021,21:00,N,HB_SOUTH,20.98
02/01/2021,21:00,N,HB_WEST,21.03
02/01/2021,21:00,N,LZ_AEN,21.07
02/01/2021,21:00,N,LZ_CPS,20.98
02/01/2021,21:00,N,LZ_HOUSTON,21.16
02/01/2021,21:00,N,LZ_LCRA,21.55
02/01/2021,21:00,N,LZ_NORTH,21.06
02/01/2021,21:00,N,LZ_RAYBN,21.44
02/01/2021,21:00,N,LZ_SOUTH,21.33
02/01/2021,21:00,N,LZ_WEST,21.33
02/01/2021,22:00,N,HB_BUSAVG,21.08
02/01/2021,22:00,N,HB_HOUSTON,21.2
02/01/2021,22:00,N,HB_HUBAVG,21.09
02/01/2021,22:00,N,HB_NORTH,21.1
02/01/2021,22:00,N,HB_PAN,-19
02/01/2021,22:00,N,HB_SOUTH,20.97
02/01/2021,22:00,N,HB_WEST,21.09
02/01/2021,22:00,N,LZ_AEN,21.06
02/01/2021,22:00,N,LZ_CPS,21.08
02/01/2021,22:00,N,LZ_HOUSTON,21.24
02/01/2021,22:00,N,LZ_LCRA,20.99
02/01/2021,22:00,N,LZ_NORTH,21.15
02/01/2021,22:00,N,LZ_RAYBN,22.1
02/01/2021,22:00,N,LZ_SOUTH,21.31
02/01/2021,22:00,N,LZ_WEST,21.39
02/01/2021,23:00,N,HB_BUSAVG,20.38
